"link","Pje_Total_BP_en_RC"
"062700610",0.13
"062700611",0.06
"062700617",0.66
"062700701",1
"062700702",0.86
"062700703",1
"062700704",0.02
"062700705",0.74
"062700706",0.24
"062700716",0.15
"062700717",0.3
"062700718",0
"062700719",0.74
"062700806",0
"062700807",0
"062700808",0.49
"062700809",0.99
"062700810",0.99
"062700811",0
"062700812",0
"062700813",0
"062700901",0.13
"062700902",0.45
"062700903",0
"062700906",0.03
"062700909",0.49
"062700910",0.45
"062700913",0.26
"062701002",0.25
"062701003",0.11
"062701006",0
"062701007",0
"062701008",0.01
"062701009",0.01
"062701010",1
"062701101",0
"062701104",0
"062740210",0.27
"062740308",0
"062740314",0.02
"062740404",0.08
"062740405",0.22
"062740406",0.22
"062740411",0.08
"062740412",0.24
"062740413",0.01
"062740414",0.62
"062740415",0.01
"062740416",0.22
"062740417",0.05
"062740507",0.49
"062740613",0
"062740614",0.01
"062740615",0.02
"062740616",0.09
"062740703",0.2
"062740704",0.19
"062740705",0
"062740706",0
"062740707",0.01
"062740708",0.26
"062740709",0.04
"062740710",0
"062740808",0
"062740810",0.42
"062740811",0.45
"062740812",0.41
"062740813",0.2
"062740814",0.05
"062740817",0
"062740818",0.01
"062740819",0.12
"062740901",0.11
"062740902",0.71
"062740905",0.32
"062740909",0.02
"062740910",0.5
"062740911",0.63
"062740912",0.02
"062740913",0.93
"062740914",0.49
"062740915",0.12
"062740922",0
"062741001",0
"062741002",0
"062741006",0.2
"062741007",0.16
"062741010",0
"062741011",0
"062741013",0.05
"062741014",0.03
"062741109",0.2
"062741111",0
"062741112",0.13
"062741117",0.13
"062741118",0.01
"062741309",0.13
"062741501",0.23
"062741502",0.04
"062741510",0
"062741512",0
"062741517",0.38
"062741601",0.18
"062741602",0.35
"062741603",0.32
"062741610",0.29
"062741706",0.06
"062741802",0.66
"062741805",0.38
"062741806",0
"062741807",0.06
"062741808",0.43
"062741809",0.32
"062741810",0.78
"062741811",0.45
"062741812",0.68
"062741813",0.81
"062741814",0.07
"062741815",0.16
"062741816",0.45
"062741904",0.1
"062741907",0.58
"062741908",0.52
"062741909",0
"062741910",0.24
"062741912",0.02
"062741913",0.13
"062742004",0.39
"062742005",0.34
"062742006",0.07
"062742007",0.16
"062742009",0
"062742014",0.12
"062742015",0.03
"062742016",0.93
"062742104",0.29
"062742105",0.15
"062742109",0.26
"062742116",0.28
"062742117",0.33
"062742123",0.02
"062742201",0.08
"062742202",0.16
"062742203",0.1
"062742207",0
"062742210",0.01
"062742211",0.99
"062742212",0.02
"063150107",0.03
"063150108",0.02
"063150114",0.02
"063150116",0.09
"063150117",0.13
"063150301",0
"063150303",0
"063360501",0
"063570601",0.08
"063570602",0.03
"063570711",0.01
"063570801",0.06
"063570802",0
"063570804",0.05
"063570805",0
"063570902",0.08
"063570903",0.13
"063570904",0.01
"063571008",0
"063571009",0.05
"063571105",0.01
"063571106",0.15
"063571210",0.2
"063571211",0.01
"063571407",0.02
"063575007",0.09
"063575106",0.02
"063575108",0.08
"063575203",0.02
"063575311",0.02
"063575312",0.06
"063575316",0.1
"063575401",0
"063575701",0.02
"063575709",0
"063575710",0.17
"063575906",0
"063575907",0.11
"063576010",0.02
"063576107",0.01
"063576110",0.01
"063576201",0.05
"063576207",0
"063576208",0.04
"063576606",0.05
"063576607",0.04
"063577001",0.15
"063577101",0.32
"063577106",0.04
"063577207",0.04
"063577208",0
"063577209",0.07
"063577301",0.01
"063577302",0.09
"063577303",0
"063577305",0.01
"063577306",0
"063577307",0.91
"063577308",0.23
"063577406",0.16
"063577408",0.16
"063577601",0.62
"063577701",0.12
"063577702",0.05
"063577703",0.3
"063577704",0
"063577806",0
"063577808",0
"063577809",0.02
"063577811",0.94
"063577812",0.98
"063577813",0.01
"063577814",0.36
"063577815",0.4
"063577816",0.16
"063577901",0.02
"063577903",0
"063577910",0.24
"063577911",0.01
"063577914",0.1
"063577915",0.09
"063577916",0.01
"063577917",0
"063578005",0.13
"063578006",0.04
"063578007",0.01
"063578009",0.02
"063578010",0.05
"063578014",0
"063578016",0.03
"063578114",0.24
"063578206",0
"063640104",0.01
"063640108",0.09
"063640109",0.23
"063640110",0.03
"063640204",0.13
"063640205",0
"063640211",0.03
"063640212",0.03
"063640301",0.01
"063640302",0.2
"063640305",0.02
"063640307",0
"063640308",0.37
"063640309",0
"063640310",0.18
"063640317",0
"063640402",0.1
"063640404",0.64
"063640408",0.62
"063640409",0.05
"063640410",0.13
"063640411",0.11
"063640412",0.23
"063640501",0.03
"063640703",0.01
"063640801",0
"063640802",0.33
"063640803",0.56
"063640804",0.06
"063640805",0.22
"063640806",0.03
"063640807",0.15
"063640808",0.09
"063640809",0.18
"063640810",0.05
"063640811",0.29
"063640812",0.51
"063640813",0.02
"063640814",0
"063640817",0.04
"063640820",0.14
"063640821",0.12
"063640822",0.1
"063710103",0.25
"063710105",0.76
"063710106",0.8
"063710107",0.98
"063710108",0.97
"063710109",0.38
"063710110",0.52
"063710111",0
"063710204",0.17
"063710205",0.56
"063710510",0.01
"063710607",0
"063710608",0.17
"063710609",1
"063710610",0.77
"063710611",0.72
"063710612",0
"063710704",0.93
"063710705",0.64
"063710706",0
"063710707",0.05
"063710708",0.02
"063710709",0
"063710711",0.01
"063710801",0.12
"063710802",0.01
"063710806",0.03
"063711012",0.02
"063711110",0
"063711401",0.04
"063711404",1
"063711405",0.82
"063711406",1
"063711407",0.99
"063711408",1
"063711409",0.97
"063711410",0.87
"063711411",0.02
"063711414",0.1
"063711502",0.19
"063711503",1
"063711504",0.98
"063711505",0.47
"063711506",0.63
"063711507",0.08
"063711508",0.01
"063711510",0.13
"063711511",0
"063711513",0.23
"063711514",0.56
"063711601",0.98
"063711602",0.97
"063711603",0.96
"063711604",0.37
"063711605",0.01
"063711606",0
"063711610",0
"063712401",0.01
"063712405",0.02
"063712703",0.11
"063712801",0.07
"063712802",0
"063712803",0
"063712805",0
"063712806",0.14
"063713009",0
"063713010",0.35
"063713011",0
"063713201",0
"063713206",0.07
"063713208",0.09
"063713214",0.05
"063713215",0.18
"063713301",0.19
"063713302",0.4
"063713405",0.55
"063713507",0.23
"063713508",0.63
"063713510",0.22
"063713511",0.28
"063713601",0
"063713602",0
"063713701",0.05
"063713702",0.44
"063713703",0.85
"063713704",1
"063713705",1
"063713706",0
"063713708",0.95
"063713709",0
"063713710",0.99
"063713711",0.98
"063713712",0.99
"063713713",0
"063713714",0
"063713716",0
"063850704",0.06
"063850718",0
"064080201",0
"064080204",0.14
"064080208",0.07
"064080301",0.01
"064080308",0.08
"064080401",0.03
"064080402",0.07
"064080404",0.14
"064080409",0.04
"064080502",0.09
"064080506",0.02
"064080702",0.03
"064080703",0.25
"064080704",0
"064080801",0.04
"064080802",0.28
"064080806",0.07
"064080813",0.14
"064080814",0.01
"064080907",0.01
"064081104",0.01
"064081108",0
"064081110",0.09
"064081201",0
"064081202",0
"064081203",0.43
"064081204",0.27
"064081303",0.03
"064081304",0.01
"064081305",0.03
"064081309",0.02
"064081311",0.03
"064081401",0.01
"064081402",0.01
"064081410",0.01
"064081503",0.04
"064081504",0.02
"064100101",0.04
"064100111",0.25
"064100205",0.02
"064100310",0.02
"064100409",0.12
"064100506",0.49
"064100507",0.28
"064100512",0.19
"064100514",0.07
"064100515",0.34
"064100601",0.07
"064100602",0.02
"064100611",0
"064100707",0.04
"064100708",0.03
"064100714",0.09
"064101301",0.02
"064101307",0.01
"064101311",0.13
"064120104",0.04
"064120107",0
"064120112",0
"064120113",0.19
"064120114",0.15
"064120116",0.22
"064120117",0.26
"064120204",0
"064120206",0.09
"064120207",0.13
"064120302",0.07
"064120509",0.21
"064120510",0.08
"064120701",0.03
"064120704",0.04
"064120706",0.06
"064120810",0.2
"064120811",0.2
"064120812",0
"064120813",0.2
"064120901",0.81
"064120902",0
"064120903",0.07
"064120909",0.02
"064120910",0.52
"064120911",1
"064120912",0.54
"064120913",0.09
"064120914",0.01
"064120915",0.01
"064120917",0.39
"064120918",0.07
"064121001",0.21
"064121005",0
"064121006",0.05
"064121009",0.18
"064121010",0.52
"064121011",0.18
"064121013",0.24
"064121015",0.36
"064121016",0.15
"064121101",0.66
"064121102",0.52
"064121103",0.11
"064121104",0.7
"064121105",0.49
"064121106",0.03
"064121116",0.18
"064121119",0.27
"064121120",0.02
"064121207",0.33
"064121209",0.4
"064121305",0.23
"064121306",0.15
"064121307",0.38
"064121311",0
"064121312",0.55
"064121406",0.14
"064121407",0
"064121408",0.14
"064121409",0.49
"064121410",0.28
"064121507",0.04
"064121511",0.07
"064121512",0.83
"064130101",0.01
"064130201",0.01
"064130205",0.08
"064130206",0.21
"064131301",0
"064131303",0.01
"064131305",0.03
"064131306",0
"064131307",0.01
"064131308",0.01
"064131401",0
"064131406",0.02
"064131407",0.27
"064131408",0
"064131902",0
"064131903",0.04
"064132201",0.02
"064132202",0.01
"064132203",0
"064132205",0
"064200102",0.03
"064200309",0.18
"064200310",0.21
"064200901",0
"064200903",0.19
"064201001",0.06
"064201005",0.05
"064201006",0.06
"064201101",0.02
"064201214",0
"064201404",0.03
"064201508",0
"064201710",0
"064201905",0
"064201906",0
"064202209",0.04
"064270805",0.01
"064270812",0
"064270904",0.03
"064270906",0.35
"064270907",0.05
"064270908",0.19
"064270909",1
"064270910",1
"064270911",1
"064270912",0.01
"064271404",0.06
"064271405",0.05
"064271406",0.04
"064271408",0.52
"064271409",0.89
"064271410",0.31
"064271411",0.53
"064271412",0.31
"064271607",0.45
"064271608",0.26
"064271609",0.09
"064271703",0
"064271705",0
"064271706",0.44
"064271707",0.12
"064271708",0
"064271709",0.01
"064271710",0
"064271711",0.99
"064271802",0
"064271803",0.19
"064271804",0.72
"064271805",0.96
"064271807",0.06
"064271809",0
"064271810",0.62
"064271812",0
"064271813",0.3
"064272001",0.05
"064272003",0.05
"064272009",0
"064272010",0.12
"064272011",0.06
"064272106",0.26
"064272204",0
"064272310",0.01
"064272402",0.02
"064272504",0
"064272505",0
"064272509",0.01
"064272510",1
"064272511",0.93
"064272512",0.11
"064272513",0
"064272515",0.15
"064273508",0.08
"064273803",0
"064273804",0.24
"064273805",0
"064273902",0.17
"064273905",0.02
"064273906",0.02
"064273908",0
"064273910",0.09
"064274110",0.1
"064274204",0
"064274205",0.14
"064274602",0.36
"064274604",0
"064274609",0.11
"064274611",0.06
"064274805",0
"064274806",0.28
"064274807",0
"064274810",0.13
"064274811",0.18
"064274901",0
"064274905",0.09
"064274906",0.94
"064274907",0.71
"064274909",0.19
"064274910",0.93
"064274911",0.96
"064274912",0.57
"064275106",0.04
"064275115",0
"064275203",0.03
"064275205",0.13
"064275206",0.01
"064275208",0.48
"064275301",0.05
"064275302",0.67
"064275401",0
"064275402",0.07
"064275403",0
"064275410",0.6
"064275411",0.25
"064275706",0
"064275815",0.07
"064276010",0.25
"064276011",0
"064276106",0.05
"064276107",0.08
"064276501",0.75
"064276502",0.25
"064276504",0.88
"064276505",0.75
"064276506",0.85
"064276507",0.71
"064276510",0.03
"064276603",0.06
"064276609",0.13
"064276701",0.57
"064276702",0.82
"064276703",0.7
"064276704",0.08
"064276705",0.38
"064276713",0
"064276714",0.53
"064276716",0.17
"064276717",0.44
"064276914",0.05
"064276915",0.09
"064276916",0.01
"064277011",0
"064277012",0.07
"064277116",0.03
"064277302",0.03
"064277310",0.07
"064277313",0.24
"064277316",0.16
"064277410",0.69
"064277411",0.34
"064277414",0.12
"064277501",0.12
"064277502",0.97
"064277503",0.98
"064277504",0
"064277505",0.01
"064277507",0.21
"064277508",0.12
"064277509",0.01
"064277510",0.01
"064277511",1
"064277512",1
"064277513",1
"064277514",1
"064277515",0.81
"064277516",0.46
"064277601",0.74
"064277603",0
"064277610",0
"064277703",0.01
"064277704",0.03
"064277705",0.14
"064277907",0.06
"064277908",0
"064278002",0.2
"064278003",0.15
"064278006",0.1
"064278011",0.88
"064278012",0.53
"064278016",0.62
"064278104",0
"064278105",0.99
"064278106",1
"064278107",0.97
"064278108",0.68
"064278109",0.35
"064278110",0.31
"064278111",0.28
"064278112",0
"064278207",0.1
"064278208",0.07
"064278209",0.15
"064278302",0.02
"064278303",0
"064278306",0.12
"064278307",0.07
"064278308",0.01
"064278309",0.12
"064278312",0.01
"064278401",0.42
"064278402",0.39
"064278403",0.14
"064278404",0.03
"064278405",0
"064278409",0.01
"064278410",0.42
"064278411",0.57
"064278412",0.19
"064278413",0.19
"064278414",0.82
"064278415",0.9
"064278416",0
"064278501",0
"064278502",0
"064278513",0.06
"064278605",0
"064278709",0.42
"064278710",0
"064278901",0.44
"064278902",0.07
"064278905",0
"064278907",0.01
"064278908",0.08
"064278912",0.04
"064278914",0.76
"064279101",0
"064279102",0.21
"064279103",0.25
"064279109",0.46
"064279110",0.02
"064279111",0.03
